A,B,C,D,E,F,G
18,46,62,63,73,76,89
57,65,67,71,79,88,14
8,9,28,37,63,68,57
16,42,54,74,75,86,52
3,19,24,50,80,83,25
33,54,55,67,74,82,34
8,30,46,58,73,84,43
5,33,34,43,47,76,79
18,30,46,50,71,87,86
13,36,46,57,59,81,54
17,30,47,58,63,68,65
15,53,55,65,85,88,7
5,25,45,53,72,78,1
23,34,44,60,78,87,63
12,29,66,70,74,88,5
1,7,18,46,66,90,40
2,24,42,67,78,88,15
8,9,38,39,70,79,84
8,41,47,68,75,88,4
7,13,21,23,40,70,26
4,21,31,59,62,71,39
11,29,30,31,38,65,20
2,11,29,38,45,47,73
3,45,59,60,73,79,58
13,50,56,67,73,75,10
3,11,21,22,25,75,15
17,21,42,44,48,61,86
19,26,35,50,52,77,46
14,15,30,36,43,77,10
12,13,35,47,67,79,7
23,26,36,56,73,79,88
5,45,49,68,74,78,46
10,11,51,82,85,90,22
11,13,30,50,69,86,53
21,34,65,67,72,74,66
2,9,12,34,72,83,27
15,17,23,28,57,61,73
51,58,72,76,84,87,50
34,45,52,70,71,83,53
16,31,49,62,69,90,14
3,5,30,31,52,79,69
36,40,69,75,81,83,31
19,40,48,63,65,90,29
12,19,38,46,73,79,17
15,17,49,59,81,87,90
11,35,41,65,73,89,22
28,29,45,55,85,88,64
5,10,21,29,30,67,2
13,21,37,58,68,86,88
18,58,60,70,72,84,73
8,26,58,83,89,90,73
19,24,25,29,60,65,12
37,47,51,59,78,82,35
14,21,22,53,57,78,8
12,34,38,79,84,88,8
41,56,60,66,80,89,34
4,8,22,43,53,82,83
24,30,35,66,70,72,68
13,15,36,48,60,84,78
6,16,27,28,39,63,81
4,5,8,44,69,83,14
6,8,19,28,34,78,25
14,15,18,57,64,67,90
25,34,47,68,70,87,89
12,22,41,50,66,72,64
10,11,25,50,60,81,51
1,9,42,61,77,81,21
3,31,39,75,79,89,49
33,36,39,53,62,81,78
35,44,46,67,68,86,83
5,35,45,47,70,82,72
43,48,52,74,76,77,10
37,38,47,51,61,62,43
2,13,17,21,40,54,48
14,17,42,45,62,81,66
2,9,35,47,69,84,28
10,22,43,59,63,85,41
3,12,16,23,40,57,22
6,22,24,40,56,74,9
1,3,8,60,73,79,42
16,23,70,80,86,90,67
4,33,44,45,48,86,71
16,18,55,68,72,77,67
1,5,21,57,72,83,34
1,2,51,62,69,81,72
7,12,15,34,38,73,5
19,27,47,52,77,80,2
4,5,39,58,82,87,26
1,2,26,35,63,77,66
3,7,15,34,73,83,2
9,13,31,65,72,87,10
36,37,50,69,73,90,57
8,55,57,69,74,82,38
9,18,48,64,74,84,52
19,48,50,54,62,80,79
5,31,37,56,60,76,89
9,25,37,55,77,81,13
6,11,26,68,70,72,30
12,29,55,58,88,90,73
12,15,40,44,63,82,87
24,40,55,58,59,72,26
8,24,34,63,69,84,68
6,50,51,61,77,84,72
14,35,64,75,84,88,5
3,16,42,61,77,82,78
8,23,35,46,66,88,50
20,32,55,70,73,87,77
29,31,41,53,60,79,87
1,20,51,56,62,82,44
11,21,42,58,65,88,7
3,21,45,46,48,58,20
7,9,37,64,76,83,35
48,78,80,86,88,90,1
24,45,58,63,67,79,18
25,37,62,67,76,89,86
11,26,42,47,57,77,70
2,48,59,72,75,84,46
2,12,51,81,83,87,16
10,15,34,43,49,60,28
26,38,46,62,68,74,13
21,27,66,67,79,85,82
4,28,43,47,75,84,77
48,50,59,79,88,90,37
4,6,24,25,40,82,7
28,39,40,42,61,81,51
8,27,39,47,48,58,56
2,4,49,53,76,90,10
20,37,80,81,88,89,36
2,31,41,77,83,89,58
1,15,38,43,52,60,22
29,35,54,69,76,79,86
15,22,32,46,51,69,34
4,13,33,41,42,87,70
14,37,48,62,72,73,3
2,23,24,28,42,82,13
36,41,51,61,75,87,59
13,20,24,72,76,85,88
16,24,49,50,72,73,79
1,22,44,53,73,85,34
21,38,62,70,81,89,82
2,45,47,72,78,79,76
29,31,37,39,64,78,75
15,17,35,36,43,66,2
10,11,19,27,43,90,9
14,17,19,22,76,86,41
4,7,18,74,82,87,51
4,22,36,62,63,87,86
8,29,52,61,69,72,58
7,19,28,50,65,79,47
27,35,37,77,83,86,47
24,51,55,63,68,90,30
12,28,40,43,54,57,15
22,31,45,58,62,82,66
22,31,36,56,65,90,51
6,10,21,37,72,90,31
11,17,18,39,41,73,47
46,50,58,74,77,86,41
22,23,27,37,64,68,58
49,50,60,61,75,84,82
19,21,25,63,64,89,90
9,18,30,55,59,87,64
17,33,51,62,66,72,79
5,17,28,38,66,77,61
6,20,32,43,65,77,40
14,44,67,71,80,83,26
2,8,45,60,63,90,12
17,26,45,48,58,62,25
16,27,56,64,66,67,17
19,47,55,58,60,66,48
12,21,43,56,57,58,48
1,3,23,42,72,78,50
38,56,62,77,78,79,50
20,47,55,59,66,69,34
8,10,41,55,57,89,67
27,34,37,38,43,70,68
5,29,39,71,73,87,77
10,16,24,43,59,72,74
12,22,42,49,81,83,16
4,28,45,61,82,90,32
2,32,58,70,72,88,84
8,20,47,50,58,73,31
8,17,49,67,80,87,70
5,7,21,24,58,84,6
32,43,53,54,61,88,37
5,39,77,84,87,89,68
21,24,32,37,47,61,29
8,14,18,27,37,56,81
6,40,44,65,67,83,33
10,12,24,37,51,89,31
23,40,54,59,61,77,48
3,12,27,44,83,85,61
4,23,52,71,83,84,41
4,11,12,25,43,64,87
8,16,20,46,47,83,68
6,17,19,57,60,73,14
3,21,34,42,60,83,56
23,40,46,63,79,84,47
13,21,30,74,81,83,44
2,28,42,53,60,78,71
3,14,50,62,84,85,22
23,26,30,33,53,77,64
16,34,49,72,75,85,74
2,15,16,36,43,63,29
3,17,18,40,72,79,14
17,32,60,72,74,77,87
10,23,60,64,69,83,70
25,31,34,41,55,78,24
24,30,54,56,59,66,65
6,12,15,42,61,87,3
2,14,54,55,79,90,68
16,29,38,71,86,89,61
6,37,55,68,80,88,38
15,19,58,66,68,78,85
3,10,20,35,42,73,13
18,30,47,58,60,90,8
28,46,49,69,82,90,1
7,35,45,60,82,90,77
21,34,44,60,65,83,24
2,18,22,41,85,89,62
5,6,17,34,63,76,77
3,12,38,39,41,74,8
13,21,46,66,70,75,39
44,46,54,67,69,70,15
1,5,38,46,65,82,43
4,17,27,32,87,88,84
8,10,45,60,62,88,15
19,55,59,64,72,74,21
8,40,51,52,73,85,24
15,36,53,54,63,77,80
16,26,42,51,75,81,67
2,24,37,65,69,84,51
4,26,61,64,70,77,49
10,24,40,46,53,55,5
5,15,43,49,74,89,83
34,38,42,60,75,76,7
23,44,60,65,68,81,7
13,49,70,74,84,89,5
12,16,53,59,68,74,56
1,14,23,32,37,69,56
2,13,62,63,81,86,54
17,41,52,60,61,88,74
17,19,22,32,69,71,40
9,15,25,34,46,85,14
2,33,47,48,79,86,70
15,49,53,66,83,84,61
16,24,62,66,73,90,31
7,43,58,68,69,81,20
14,25,28,62,63,72,86
3,7,36,62,78,88,59
18,19,29,39,86,87,5
33,36,44,60,72,90,69
34,46,63,65,81,89,9
8,13,48,72,82,88,23
37,41,50,59,77,78,72
4,6,19,58,63,81,65
7,11,41,59,76,84,57
8,42,53,69,75,78,30
10,20,38,49,72,78,31
14,25,54,69,73,84,5
5,33,59,67,68,70,31
16,51,56,64,71,77,40
1,19,21,38,48,86,69
29,48,49,52,57,83,75
11,13,16,17,32,64,57
12,14,29,34,54,88,33
15,31,40,49,81,82,18
39,44,69,73,84,87,24
6,10,19,39,76,86,41
1,9,17,47,57,69,45
40,42,52,58,70,76,2
8,21,23,35,42,69,57
11,34,38,57,75,79,87
17,21,45,76,78,88,48
5,11,25,32,66,72,89
4,14,15,38,75,79,35
11,14,25,65,84,87,69
4,30,55,56,77,86,72
3,57,66,69,77,84,56
8,20,21,32,38,63,34
6,14,50,55,57,76,2
22,23,50,53,77,79,69
4,5,6,16,81,82,89
7,15,25,69,76,89,29
1,26,31,49,71,74,15
17,65,73,74,77,86,43
35,37,39,63,76,77,48
28,51,62,75,85,90,89
6,23,27,34,51,84,64
3,16,30,31,32,56,79
2,10,69,72,74,87,20
8,48,67,73,76,79,57
4,12,52,66,80,90,10
51,59,63,65,71,75,45
1,36,38,44,61,71,75
12,19,46,60,66,69,48
16,34,57,65,74,75,43
5,48,75,82,85,90,74
4,27,48,53,64,87,11
20,40,44,54,76,77,89
9,29,37,39,84,85,47
12,17,52,54,74,76,70
19,24,45,72,74,79,48
6,29,31,57,60,90,7
20,22,63,71,72,75,17
1,4,26,50,64,81,72
14,25,64,67,69,86,26
4,10,11,72,84,90,86
31,40,41,46,65,77,32
7,13,23,38,56,75,32
13,24,58,69,77,88,76
4,40,46,48,73,88,69
11,21,31,48,69,79,47
6,18,27,30,50,62,75
4,14,40,45,51,60,61
17,40,55,60,68,71,57
7,26,50,60,66,86,78
10,37,39,51,70,79,75
13,23,31,33,72,75,5
1,4,15,50,73,74,3
22,33,40,76,86,87,32
7,8,17,29,65,66,24
9,20,45,61,67,77,7
2,3,39,58,72,80,55
1,5,31,40,43,79,66
11,23,39,59,72,75,46
14,29,34,49,73,85,30
1,10,13,14,43,47,75
6,7,9,32,74,76,65
20,29,35,64,78,83,71
7,19,20,26,34,72,29
2,7,59,67,68,86,71
6,8,20,26,56,65,50
21,30,37,46,62,88,44
1,6,60,68,75,76,31
8,23,27,64,66,71,81
33,43,60,71,79,90,15
9,22,29,49,52,76,28
1,8,74,75,83,90,38
14,19,35,57,70,84,82
1,5,16,20,21,52,8
12,21,50,68,73,86,22
10,28,33,78,84,88,13
39,76,78,79,87,88,18
5,16,20,24,69,90,60
12,42,43,56,61,89,44
4,14,31,41,49,67,54
4,8,65,77,82,89,86
2,8,26,55,62,80,14
11,19,42,46,69,74,32
21,22,33,39,69,89,8
2,21,44,77,78,80,67
2,7,28,45,52,76,23
21,24,42,68,70,73,77
6,18,23,28,40,76,10
19,23,27,45,59,74,40
3,7,11,13,26,58,36
18,28,29,33,51,83,35
9,13,16,62,74,84,72
15,21,30,58,59,71,28
10,46,54,71,75,86,68
11,15,19,28,35,85,18
28,43,53,63,72,78,19
3,48,54,73,78,85,2
37,43,58,61,62,85,56
44,64,66,68,70,77,53
25,39,48,88,89,90,12
16,42,45,61,72,82,69
51,58,59,62,76,77,54
2,23,42,48,65,78,66
5,18,42,66,73,76,41
50,61,67,68,80,88,71
9,23,40,64,80,83,3
14,16,20,44,56,72,5
5,8,33,41,54,63,36
18,20,43,54,70,85,73
7,24,33,38,76,83,74
3,28,41,46,61,66,24
7,21,33,40,58,79,31
5,6,21,37,40,45,74
1,41,43,55,78,85,27
2,4,22,62,67,81,51
43,44,57,66,84,85,72
9,11,27,39,53,80,14
41,49,60,62,83,84,79
7,15,46,47,66,89,86
4,33,64,66,70,79,72
4,11,28,38,66,72,70
11,21,35,72,74,84,64
20,28,30,33,54,65,34
15,22,35,57,81,87,80
11,28,30,42,72,77,73
11,20,37,47,77,84,26
24,31,38,70,82,87,56
6,11,16,21,47,51,34
26,35,40,58,79,89,75
24,39,40,41,60,82,32
2,8,44,57,61,75,46
12,24,33,34,58,79,64
3,8,58,68,85,90,81
5,22,31,44,75,90,3
19,31,63,70,71,89,8
20,27,30,46,72,84,68
2,21,22,54,57,87,39
4,29,44,64,66,81,10
35,38,42,53,75,83,20
18,29,38,50,62,82,7
7,14,41,63,81,82,37
4,39,41,79,85,86,52
11,41,43,44,68,75,20
6,13,15,37,51,57,72
3,18,34,60,74,79,61
20,39,53,57,77,80,46
3,38,43,68,70,81,21
7,11,26,42,67,88,35
32,35,45,63,70,88,71
6,28,30,42,71,80,44
5,26,44,52,75,80,69
12,25,36,61,66,73,15
12,37,44,58,61,77,89
7,19,50,68,78,84,65
9,42,52,74,76,89,86
18,26,43,57,64,84,17
25,42,59,65,79,84,30
14,17,25,57,77,78,65
10,23,34,37,51,52,5
2,15,52,63,77,82,19
34,44,45,51,59,68,77
21,42,44,69,72,89,43
36,40,52,75,78,82,74
26,45,66,69,70,78,33
6,8,22,69,70,72,25
17,19,36,63,82,89,81
9,32,42,68,79,86,43
5,6,20,54,78,86,50
18,37,48,61,69,87,32
23,26,44,76,80,84,18
15,19,22,23,48,82,13
15,30,35,61,73,82,28
37,42,53,64,82,90,79
11,12,41,45,54,62,20
13,23,31,43,60,73,63
33,41,48,51,55,84,61
6,24,29,55,71,89,50
9,30,41,44,46,59,71
6,7,9,32,39,66,47
5,12,20,59,63,69,57
44,49,55,61,62,66,69
13,43,48,53,58,61,9
16,22,27,63,65,77,21
1,10,67,71,72,88,25
6,50,52,61,76,82,68
28,35,54,58,61,65,73
3,16,44,75,76,85,38
52,63,73,84,86,87,79
1,42,47,63,66,80,6
5,7,21,25,35,84,15
6,8,26,54,66,76,37
6,16,35,63,64,71,78
14,37,70,76,80,88,42
12,27,35,49,63,68,47
1,8,17,36,49,67,44
1,12,16,25,68,90,65
2,7,12,18,48,74,63
33,42,55,57,66,85,43
7,18,55,62,84,85,37
6,23,28,43,72,87,25
4,22,37,49,53,56,52
21,33,59,65,70,85,29
6,21,32,50,81,82,7
11,13,61,66,71,90,81
4,41,58,78,81,87,74
18,27,58,59,80,90,66
20,21,23,31,54,83,89
5,7,13,50,51,64,26
4,49,61,78,79,82,54
5,32,34,55,60,64,82
9,32,44,46,53,87,89
5,8,26,53,65,76,67
8,16,18,44,48,82,79
1,12,26,36,41,87,32
5,17,38,52,75,81,73
3,37,64,69,81,86,72
1,4,5,55,69,76,11
11,46,47,48,53,65,21
12,14,41,45,66,87,68
31,34,56,60,65,86,10
25,49,51,52,84,86,65
1,14,33,39,56,86,37
3,13,47,83,84,88,75
7,16,19,53,60,84,67
8,29,35,53,77,87,83
36,42,43,58,61,67,76
26,36,37,51,56,82,32
14,19,24,48,76,86,62
8,15,61,68,71,78,43
9,24,36,45,63,84,46
5,15,55,56,59,81,83
12,23,65,75,76,81,38
3,20,24,55,56,86,52
4,35,59,60,71,89,65
16,17,23,29,52,54,44
5,17,19,48,50,73,57
35,36,43,54,60,88,59
18,38,41,45,73,89,69
6,20,29,73,76,90,77
46,58,70,76,80,83,11
31,44,58,62,66,81,82
31,38,51,54,56,63,55
37,49,51,56,63,79,67
23,30,33,50,72,89,9
30,31,36,63,69,76,70
10,15,24,28,42,82,86
1,24,40,48,65,82,16
13,25,46,55,60,61,87
29,42,47,78,89,90,37
22,34,40,53,55,64,27
12,38,51,73,77,85,39
1,34,35,42,58,63,39
12,17,32,35,61,69,25
14,36,41,51,60,80,78
24,36,53,55,81,87,42
5,8,26,27,28,87,82
18,22,56,65,76,81,83
2,14,44,64,73,74,33
1,36,47,56,88,89,52
18,24,37,51,52,80,72
19,59,60,67,73,77,42
1,5,37,65,66,86,71
8,10,11,13,39,73,16
11,39,43,54,73,74,18
6,16,18,42,53,84,21
1,15,39,64,80,87,71
5,6,41,59,72,73,12
28,44,47,62,75,88,85
28,41,53,56,78,85,39
12,47,56,62,65,67,8
2,34,38,47,60,66,44
15,37,44,61,84,89,2
1,7,15,54,66,79,39
43,44,52,58,59,73,64
7,11,14,15,42,47,71
4,5,19,35,65,66,47
27,31,32,41,86,87,7
4,15,35,51,59,79,3
12,36,44,45,47,74,64
22,30,35,67,73,86,28
9,10,14,37,53,59,12
3,5,9,13,27,86,36
19,21,27,34,41,72,56
14,31,42,51,70,76,68
24,27,28,59,62,67,4
29,52,63,73,79,83,24
4,16,26,41,75,81,72
8,13,15,24,43,44,18
10,15,28,66,72,87,79
2,17,44,49,60,78,63
16,23,43,55,56,58,10
1,2,16,18,44,67,13
6,27,48,56,87,89,8
24,50,61,80,88,89,23
13,18,51,71,77,86,6
12,21,42,51,75,87,8
11,22,29,57,81,88,43
5,10,15,25,32,87,50
20,27,32,40,68,74,25
14,19,33,48,67,78,35
44,52,57,71,87,88,46
13,17,33,39,53,56,51
23,34,38,39,46,85,50
52,55,62,70,76,81,42
4,6,14,23,53,87,59
4,8,30,63,76,77,68
3,18,43,66,75,83,53
4,26,32,36,72,76,40
14,18,26,80,83,87,28
24,27,31,64,81,88,69
9,11,24,45,50,67,34
9,33,39,41,58,64,82
10,24,40,48,68,76,66
6,41,42,53,79,84,74
26,40,50,76,80,81,79
9,29,31,33,40,45,1
1,2,31,40,53,74,3
17,32,50,64,81,83,57
9,22,30,41,43,57,89
7,20,26,80,81,86,53
3,13,24,37,50,79,29
3,48,50,60,86,89,90
18,24,39,59,60,61,7
4,15,17,19,33,75,6
31,37,47,68,73,83,64
48,50,56,59,76,89,73
35,59,66,67,70,89,81
6,15,26,35,62,82,55
3,28,47,66,72,75,70
39,42,58,83,84,86,26
15,32,43,52,57,83,42
1,19,31,50,53,90,64
8,17,18,41,50,79,14
9,13,18,43,68,70,61
12,26,45,68,71,80,21
4,34,42,52,55,69,11
22,25,27,52,72,80,85
3,10,21,43,74,88,37
23,32,39,57,62,70,78
42,47,52,53,56,70,25
4,8,13,21,25,72,29
22,23,27,55,64,73,59
49,50,54,66,74,88,27
5,15,18,38,41,51,19
18,22,23,49,57,83,84
19,40,42,64,78,83,30
1,21,25,32,59,72,74
21,23,26,58,61,76,56
20,59,60,64,70,72,38
11,12,26,35,54,88,27
2,16,22,27,71,77,56
7,8,57,59,87,90,54
18,33,35,45,65,72,70
38,40,43,51,57,87,74
3,20,28,29,55,79,15
10,11,17,27,60,84,23
26,35,41,43,70,84,10
12,27,37,64,67,71,51
8,31,49,54,58,88,55
34,56,73,76,78,82,10
19,67,71,84,87,88,82
4,16,26,29,72,79,80
6,34,44,57,77,83,28
6,51,61,65,66,75,70
30,63,70,81,82,88,7
6,9,48,65,72,80,58
1,6,8,35,58,70,37
11,17,27,43,75,90,70
24,26,32,40,79,89,19
13,21,38,61,65,68,74
13,30,32,48,52,58,78
27,28,55,62,65,70,53
10,33,35,44,55,57,89
6,20,28,51,56,67,10
12,32,51,56,65,80,7
1,35,44,69,70,85,64
40,48,50,51,68,79,52
14,20,37,59,81,88,42
15,19,37,61,64,82,9
38,43,65,73,80,90,62
55,57,60,69,70,86,22
6,53,63,79,84,85,72
3,7,22,74,82,85,81
7,21,46,57,65,77,50
17,53,74,76,87,89,60
25,33,37,46,50,69,73
16,18,63,75,76,80,79
12,17,26,78,86,87,39
10,14,16,64,73,78,31
7,21,29,69,86,88,70
24,27,68,69,73,83,76
2,7,17,23,32,79,53
23,28,35,45,83,86,32
15,43,53,54,69,73,56
2,28,41,61,66,89,88
2,14,24,27,32,66,20
11,14,20,37,40,74,27
2,17,34,61,78,87,42
29,44,57,63,64,82,24
31,32,51,62,77,83,56
6,18,22,42,67,90,29
19,25,39,56,57,79,49
12,20,22,48,49,70,73
9,41,62,63,65,73,56
4,38,66,73,83,87,74
23,32,47,63,70,71,37
5,6,27,29,66,85,19
10,55,57,70,88,89,75
5,27,28,36,44,52,10
10,15,16,84,86,88,19
17,30,32,63,71,79,22
25,69,74,81,87,89,27
3,30,55,56,61,83,12
4,50,58,60,62,75,10
4,7,54,73,83,85,84
13,27,35,46,63,66,29
6,19,36,49,62,79,76
11,13,16,34,41,62,21
34,41,50,67,80,87,72
8,10,32,47,74,87,9
4,10,12,36,53,56,86
17,30,51,62,75,77,54
17,21,51,58,83,89,63
16,20,26,35,41,76,32
4,6,60,67,72,84,31
56,63,66,69,83,89,38
40,43,55,59,67,69,31
13,27,39,43,74,80,69
6,31,34,35,46,72,64
15,25,54,55,80,85,32
39,56,72,78,81,89,11
16,24,48,65,83,85,23
4,25,43,58,78,90,67
15,17,27,30,61,80,90
28,38,47,56,63,80,57
12,15,29,60,67,90,58
16,22,38,54,56,72,8
1,3,28,29,49,90,43
4,13,23,68,75,82,83
1,56,65,68,86,90,20
18,47,58,79,80,83,38
27,30,39,40,63,64,53
8,26,42,52,80,82,7
13,43,50,58,67,76,44
5,10,16,21,40,88,37
33,34,50,52,85,89,23
9,16,23,55,59,86,24
3,37,39,46,65,67,22
21,45,47,48,83,85,68
16,30,32,49,56,61,23
9,13,27,46,70,85,40
2,6,67,71,87,88,38
7,23,35,43,67,79,21
42,49,52,57,71,81,70
1,13,18,34,62,81,6
28,31,39,51,70,88,49
10,17,35,51,65,88,45
15,18,28,47,61,75,32
29,34,40,68,73,90,60
3,22,34,49,66,86,7
11,21,22,25,62,79,16
13,15,16,62,68,85,58
9,22,29,31,64,88,13
14,25,35,58,60,76,82
6,17,20,76,89,90,64
14,35,45,63,87,88,5
5,10,13,51,53,72,43
6,21,41,69,75,83,76
1,4,26,53,54,58,41
25,42,52,68,70,83,7
10,20,26,34,44,74,75
2,3,8,64,87,90,28
13,29,36,68,74,90,10
2,27,38,50,77,88,85
2,6,24,68,81,86,10
2,33,41,42,50,64,47
3,10,25,34,58,88,55
41,44,52,54,67,74,82
42,45,52,56,70,87,17
4,10,17,37,58,80,50
8,32,41,57,78,84,37
2,5,16,18,52,81,73
3,19,48,58,61,89,81
20,72,75,78,79,89,86
11,18,31,55,83,90,8
12,23,32,35,58,63,68
29,79,81,82,85,89,20
15,31,43,55,66,80,88
30,37,56,65,86,89,14
31,47,54,57,70,81,15
8,13,16,31,53,79,20
5,27,32,53,75,90,14
28,31,45,60,72,80,68
4,64,76,85,87,90,36
12,34,36,42,49,64,30
5,27,28,48,68,74,43
7,11,19,22,37,58,90
21,55,63,72,82,84,85
10,19,44,47,57,73,70
29,44,56,61,68,80,51
1,38,51,54,64,66,81
5,20,24,57,85,86,23
3,19,25,28,51,68,44
7,11,16,17,49,61,79
9,11,32,40,41,58,62
20,32,54,65,67,78,37
21,25,39,51,74,79,7
2,9,11,18,37,61,27
11,16,26,31,65,78,55
25,54,56,76,78,85,69
20,22,52,82,83,86,19
8,26,46,55,68,87,51
18,20,27,55,71,85,39
9,32,48,56,72,86,25
3,45,48,52,57,62,5
15,21,29,38,74,77,27
39,40,43,50,59,72,73
8,17,37,73,80,86,25
11,33,36,54,66,87,79
38,61,77,82,87,89,24
5,40,41,54,78,88,46
36,43,50,65,66,69,6
2,31,39,69,70,80,54
11,19,29,40,83,86,67
7,8,19,23,50,65,51
9,13,19,23,26,27,25
10,15,53,55,75,90,77
5,11,35,47,61,65,16
3,21,52,71,81,86,8
17,19,53,61,79,81,66
9,11,13,42,54,80,41
22,53,62,73,81,82,35
5,17,24,30,42,74,48
7,48,59,71,73,77,65
19,20,49,62,64,76,47
16,21,39,60,62,76,83
12,24,45,63,80,83,19
2,13,14,31,66,69,77
18,21,31,42,52,74,20
12,51,53,64,77,84,68
14,27,37,42,51,68,81
47,50,65,72,80,85,49
8,11,35,45,76,85,74
10,37,43,60,65,69,34
3,9,21,36,53,88,51
11,20,26,42,48,64,63
1,9,25,60,83,89,49
25,27,37,40,64,83,56
12,18,33,69,88,90,64
1,8,14,16,31,32,28
6,13,17,18,51,62,28
20,24,27,64,67,81,26
15,20,28,47,69,82,25
16,20,35,55,66,89,86
11,18,27,34,43,70,40
19,24,36,64,72,80,4
33,35,40,84,86,89,19
6,21,30,42,63,78,35
46,52,80,82,85,90,49
11,28,34,41,69,90,14
1,3,9,30,41,76,77
5,14,35,64,66,74,75
7,20,36,54,61,88,46
1,22,32,36,51,57,55
1,17,66,68,77,85,21
11,21,28,55,84,87,2
1,24,48,52,75,84,18
7,10,22,29,50,78,85
18,20,52,74,83,85,56
18,56,77,80,82,90,26
18,31,50,61,63,83,21
17,50,69,80,83,85,9
6,26,39,50,52,68,85
5,29,37,43,60,89,47
13,45,56,59,75,89,23
27,46,48,80,83,86,47
7,29,38,57,80,83,12
28,35,49,54,77,84,9
24,32,34,50,52,87,47
11,20,22,53,63,85,86
11,24,37,56,64,70,80
4,9,31,47,82,87,54
16,22,37,48,82,84,38
1,4,7,11,23,52,72
5,45,61,69,73,87,16
7,11,39,41,51,88,44
2,14,30,39,74,75,70
12,13,26,38,44,52,9
25,36,55,68,76,87,3
6,26,31,56,63,64,21
46,57,71,80,84,85,58
22,59,62,76,78,80,8
12,26,43,66,78,82,52
56,64,72,83,85,87,29
8,41,63,69,79,82,68
8,16,35,58,66,69,23
19,30,43,45,75,85,88
5,6,36,40,43,85,66
15,36,53,58,74,81,18
53,55,62,65,70,80,49
20,22,25,45,53,74,17
9,15,39,49,76,90,65
14,16,37,41,46,75,74
22,23,35,50,73,90,41
17,41,59,81,85,86,46
4,38,48,51,87,89,28
4,17,33,66,73,80,30
22,26,48,52,68,72,55
4,15,17,28,35,54,68
7,9,10,43,82,83,1
34,51,52,61,65,90,39
12,26,37,66,83,88,55
19,25,41,64,66,84,89
4,31,40,41,45,57,63
1,46,47,49,58,88,55
22,31,38,54,77,85,82
19,24,28,47,55,66,62
10,18,23,29,44,75,80
12,30,31,46,64,71,63
3,6,9,31,40,77,43
10,20,45,46,63,83,78
3,4,10,29,47,67,35
2,33,35,41,49,63,54
18,27,48,58,66,70,86
20,27,28,41,54,73,78
18,29,35,38,46,51,62
37,39,41,47,77,89,70
9,29,32,34,41,57,30
20,30,40,54,70,72,53
6,32,48,59,66,71,55
17,28,67,69,70,83,60
2,16,39,45,54,85,67
23,26,39,76,86,87,84
6,20,25,26,29,54,86
14,28,39,45,61,63,43
19,37,42,48,57,85,31
4,11,24,36,54,85,55
12,34,43,56,69,80,62
18,26,57,70,72,74,87
2,12,24,34,79,88,35
16,30,47,54,72,78,27
13,25,29,31,53,63,45
5,10,12,18,49,70,28
1,15,29,41,43,84,89
12,16,35,39,67,76,45
20,47,61,67,75,88,42
3,60,66,68,75,82,15
19,53,58,70,71,88,80
4,30,31,34,79,90,29
10,29,52,76,78,87,77
8,10,33,40,71,85,50
14,21,29,36,52,65,19
32,47,57,62,71,77,31
19,25,40,41,72,75,88
24,38,40,48,56,81,72
3,25,39,45,77,79,47
16,29,53,65,77,83,64
2,4,42,43,51,88,9
7,30,33,40,74,81,83
9,17,31,63,72,85,68
8,14,37,73,81,87,72
3,24,45,49,71,74,69
11,12,25,42,54,88,71
14,39,51,53,69,85,72
17,44,58,60,69,74,82
14,19,34,47,82,87,56
4,8,43,51,87,88,45
9,10,32,34,38,77,50
17,27,65,72,73,78,64
20,33,43,56,61,87,57
15,19,32,35,55,84,45
3,16,21,65,68,72,50
2,10,26,34,56,78,67
15,32,34,59,83,89,73
4,8,47,60,85,87,39
4,8,17,32,49,56,81
8,14,23,26,51,68,49
3,16,23,29,44,67,19
6,11,31,45,50,84,33
38,40,56,58,69,85,52
7,8,13,33,47,65,10
2,3,18,66,71,81,5
35,38,63,73,80,84,40
18,34,58,68,72,74,52
10,39,59,69,75,79,62
13,16,39,61,68,71,7
24,48,52,57,59,79,47
12,17,64,82,83,88,8
33,59,61,62,64,72,44
3,25,26,37,47,68,35
23,34,48,73,77,79,43
4,33,38,53,81,84,74
4,13,18,50,82,88,83
33,36,40,60,75,80,18
5,7,19,47,58,61,60
28,34,51,53,54,71,15
8,9,21,22,61,74,35
10,47,62,72,73,76,12
22,65,67,74,76,90,54
8,9,34,45,55,74,11
8,25,27,32,65,90,42
9,28,38,69,75,81,82
17,18,43,59,79,84,2
4,25,26,61,67,76,46
2,14,31,40,50,61,30
10,29,44,51,59,77,31
15,23,40,60,71,89,49
16,40,42,49,61,64,86
11,15,23,36,71,90,46
8,10,33,39,51,80,23
21,24,36,41,53,56,86
23,26,42,45,75,82,83
5,17,44,58,66,84,11
17,43,46,47,62,66,48
1,28,52,53,59,73,55
20,30,63,64,67,86,22
7,28,33,64,89,90,82
3,14,15,23,28,34,63
51,53,61,79,82,89,46
26,37,44,52,82,83,84
4,35,57,59,60,78,8
20,75,81,83,85,88,39
3,62,76,83,84,85,1
3,7,23,69,77,86,17
8,10,21,31,32,85,54
17,37,38,57,68,73,72
19,25,31,50,69,88,27
4,19,50,58,61,76,42
12,29,44,52,60,80,23
53,64,78,79,84,89,81
1,7,40,62,75,90,43
33,40,63,72,73,76,81
26,27,29,38,54,87,90
